id,place,city,state,latitude,longitude,category,best_time,budget_per_day,description,category_icon,estimated_entry_fee,estimated_local_travel
115,Brindavan Gardens,Mysuru,Karnataka,12.2958,76.6274,Nature,Oct-Apr,2500,"Brindavan Gardens is a popular travel spot near Mysuru, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,300,450
116,St Philomena's Cathedral,Mysuru,Karnataka,12.2838,76.6394,Historical/Heritage,Sep-Feb,3000,"St Philomena's Cathedral is a popular travel spot near Mysuru, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,360,540
117,Virupaksha Temple,Hampi,Karnataka,15.335,76.472,Temple,Oct-Mar,1800,"Virupaksha Temple is a popular travel spot near Hampi, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
118,Vittala Temple,Hampi,Karnataka,15.347,76.46,Temple,Nov-Feb,2200,"Vittala Temple is a popular travel spot near Hampi, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
119,Hampi Bazaar,Hampi,Karnataka,15.335,76.448,Famous Landmark,Oct-Apr,2500,"Hampi Bazaar is a popular travel spot near Hampi, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,300,450
120,Matanga Hill,Hampi,Karnataka,15.323,76.46,Places to Visit,Sep-Feb,3000,"Matanga Hill is a popular travel spot near Hampi, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
121,Abbey Falls,Coorg,Karnataka,12.3375,75.8189,Lake/Waterfall,Oct-Mar,1800,"Abbey Falls is a popular travel spot near Coorg, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,216,324
122,Raja's Seat,Coorg,Karnataka,12.3495,75.8069,Places to Visit,Nov-Feb,2200,"Raja's Seat is a popular travel spot near Coorg, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
123,Dubare Elephant Camp,Coorg,Karnataka,12.3375,75.7949,Wildlife,Oct-Apr,2500,"Dubare Elephant Camp is a popular travel spot near Coorg, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🐅,300,450
124,Mandalpatti,Coorg,Karnataka,12.3255,75.8069,Nature,Sep-Feb,3000,"Mandalpatti is a popular travel spot near Coorg, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,360,540
125,Om Beach,Gokarna,Karnataka,14.5479,74.3308,Beach,Oct-Mar,1800,"Om Beach is a popular travel spot near Gokarna, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,216,324
126,Kudle Beach,Gokarna,Karnataka,14.5599,74.3188,Beach,Nov-Feb,2200,"Kudle Beach is a popular travel spot near Gokarna, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,264,396
127,Mahabaleshwar Temple,Gokarna,Karnataka,14.5479,74.3068,Temple,Oct-Apr,2500,"Mahabaleshwar Temple is a popular travel spot near Gokarna, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,300,450
128,Half Moon Beach,Gokarna,Karnataka,14.5359,74.3188,Beach,Sep-Feb,3000,"Half Moon Beach is a popular travel spot near Gokarna, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,360,540
129,Mullayanagiri,Chikmagalur,Karnataka,13.3161,75.784,Places to Visit,Oct-Mar,1800,"Mullayanagiri is a popular travel spot near Chikmagalur, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,216,324
130,Baba Budangiri,Chikmagalur,Karnataka,13.3281,75.772,Places to Visit,Nov-Feb,2200,"Baba Budangiri is a popular travel spot near Chikmagalur, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
131,Hebbe Falls,Chikmagalur,Karnataka,13.3161,75.76,Lake/Waterfall,Oct-Apr,2500,"Hebbe Falls is a popular travel spot near Chikmagalur, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,300,450
132,Hirekolale Lake,Chikmagalur,Karnataka,13.3041,75.772,Lake/Waterfall,Sep-Feb,3000,"Hirekolale Lake is a popular travel spot near Chikmagalur, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,360,540
133,Udupi Sri Krishna Temple,Udupi,Karnataka,13.3409,74.7541,Temple,Oct-Mar,1800,"Udupi Sri Krishna Temple is a popular travel spot near Udupi, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
134,Malpe Beach,Udupi,Karnataka,13.3529,74.7421,Beach,Nov-Feb,2200,"Malpe Beach is a popular travel spot near Udupi, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,264,396
135,St Mary's Island,Udupi,Karnataka,13.3409,74.7301,Places to Visit,Oct-Apr,2500,"St Mary's Island is a popular travel spot near Udupi, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
136,Kaup Beach,Udupi,Karnataka,13.3289,74.7421,Beach,Sep-Feb,3000,"Kaup Beach is a popular travel spot near Udupi, Karnataka, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,360,540
137,Miramar Beach,Panaji,Goa,15.4909,73.8398,Beach,Oct-Mar,1800,"Miramar Beach is a popular travel spot near Panaji, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,216,324
138,Dona Paula,Panaji,Goa,15.5029,73.8278,Places to Visit,Nov-Feb,2200,"Dona Paula is a popular travel spot near Panaji, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
139,Fontainhas,Panaji,Goa,15.4909,73.8158,Historical/Heritage,Oct-Apr,2500,"Fontainhas is a popular travel spot near Panaji, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,300,450
140,Basilica of Bom Jesus,Panaji,Goa,15.4789,73.8278,Spiritual,Sep-Feb,3000,"Basilica of Bom Jesus is a popular travel spot near Panaji, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,360,540
141,Baga Beach,North Goa,Goa,15.5937,73.756,Beach,Oct-Mar,1800,"Baga Beach is a popular travel spot near North Goa, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,216,324
142,Calangute Beach,North Goa,Goa,15.6057,73.744,Beach,Nov-Feb,2200,"Calangute Beach is a popular travel spot near North Goa, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,264,396
143,Fort Aguada,North Goa,Goa,15.5937,73.732,Fort,Oct-Apr,2500,"Fort Aguada is a popular travel spot near North Goa, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,300,450
144,Anjuna Beach,North Goa,Goa,15.5817,73.744,Beach,Sep-Feb,3000,"Anjuna Beach is a popular travel spot near North Goa, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,360,540
145,Palolem Beach,South Goa,Goa,15.1544,74.0366,Beach,Oct-Mar,1800,"Palolem Beach is a popular travel spot near South Goa, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,216,324
146,Colva Beach,South Goa,Goa,15.1664,74.0246,Beach,Nov-Feb,2200,"Colva Beach is a popular travel spot near South Goa, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,264,396
147,Cabo de Rama Fort,South Goa,Goa,15.1544,74.0126,Fort,Oct-Apr,2500,"Cabo de Rama Fort is a popular travel spot near South Goa, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,300,450
148,Agonda Beach,South Goa,Goa,15.1424,74.0246,Beach,Sep-Feb,3000,"Agonda Beach is a popular travel spot near South Goa, Goa, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏖️,360,540
149,Gateway of India,Mumbai,Maharashtra,19.076,72.8897,Famous Landmark,Oct-Mar,1800,"Gateway of India is a popular travel spot near Mumbai, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,216,324
150,Marine Drive,Mumbai,Maharashtra,19.088,72.8777,Famous Landmark,Nov-Feb,2200,"Marine Drive is a popular travel spot near Mumbai, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,264,396
151,Chhatrapati Shivaji Maharaj Terminus,Mumbai,Maharashtra,19.076,72.8657,Places to Visit,Oct-Apr,2500,"Chhatrapati Shivaji Maharaj Terminus is a popular travel spot near Mumbai, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
152,Elephanta Caves,Mumbai,Maharashtra,19.064,72.8777,Adventure,Sep-Feb,3000,"Elephanta Caves is a popular travel spot near Mumbai, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,360,540
153,Shaniwar Wada,Pune,Maharashtra,18.5204,73.8687,Places to Visit,Oct-Mar,1800,"Shaniwar Wada is a popular travel spot near Pune, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,216,324
154,Aga Khan Palace,Pune,Maharashtra,18.5324,73.8567,Palace,Nov-Feb,2200,"Aga Khan Palace is a popular travel spot near Pune, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,264,396
155,Sinhagad Fort,Pune,Maharashtra,18.5204,73.8447,Fort,Oct-Apr,2500,"Sinhagad Fort is a popular travel spot near Pune, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,300,450
156,Pataleshwar Cave Temple,Pune,Maharashtra,18.5084,73.8567,Temple,Sep-Feb,3000,"Pataleshwar Cave Temple is a popular travel spot near Pune, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,360,540
157,Venna Lake,Mahabaleshwar,Maharashtra,17.9307,73.6597,Lake/Waterfall,Oct-Mar,1800,"Venna Lake is a popular travel spot near Mahabaleshwar, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,216,324
158,Pratapgad Fort,Mahabaleshwar,Maharashtra,17.9427,73.6477,Fort,Nov-Feb,2200,"Pratapgad Fort is a popular travel spot near Mahabaleshwar, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,264,396
159,Arthur's Seat,Mahabaleshwar,Maharashtra,17.9307,73.6357,Places to Visit,Oct-Apr,2500,"Arthur's Seat is a popular travel spot near Mahabaleshwar, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
160,Mapro Garden,Mahabaleshwar,Maharashtra,17.9187,73.6477,Nature,Sep-Feb,3000,"Mapro Garden is a popular travel spot near Mahabaleshwar, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,360,540
161,Sula Vineyards,Nashik,Maharashtra,19.9975,73.8018,Nature,Oct-Mar,1800,"Sula Vineyards is a popular travel spot near Nashik, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,216,324
162,Trimbakeshwar Temple,Nashik,Maharashtra,20.0095,73.7898,Temple,Nov-Feb,2200,"Trimbakeshwar Temple is a popular travel spot near Nashik, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
163,Pandavleni Caves,Nashik,Maharashtra,19.9975,73.7778,Adventure,Oct-Apr,2500,"Pandavleni Caves is a popular travel spot near Nashik, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,300,450
164,Godavari Ghat,Nashik,Maharashtra,19.9855,73.7898,Lake/Waterfall,Sep-Feb,3000,"Godavari Ghat is a popular travel spot near Nashik, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,360,540
165,Ajanta Caves,Aurangabad,Maharashtra,19.8762,75.3553,Adventure,Oct-Mar,1800,"Ajanta Caves is a popular travel spot near Aurangabad, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,216,324
166,Ellora Caves,Aurangabad,Maharashtra,19.8882,75.3433,Adventure,Nov-Feb,2200,"Ellora Caves is a popular travel spot near Aurangabad, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,264,396
167,Bibi Ka Maqbara,Aurangabad,Maharashtra,19.8762,75.3313,Places to Visit,Oct-Apr,2500,"Bibi Ka Maqbara is a popular travel spot near Aurangabad, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
168,Daulatabad Fort,Aurangabad,Maharashtra,19.8642,75.3433,Fort,Sep-Feb,3000,"Daulatabad Fort is a popular travel spot near Aurangabad, Maharashtra, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,360,540
169,Amber Fort,Jaipur,Rajasthan,26.9124,75.7993,Fort,Oct-Mar,1800,"Amber Fort is a popular travel spot near Jaipur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,216,324
170,Hawa Mahal,Jaipur,Rajasthan,26.9244,75.7873,Famous Landmark,Nov-Feb,2200,"Hawa Mahal is a popular travel spot near Jaipur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,264,396
171,City Palace,Jaipur,Rajasthan,26.9124,75.7753,Palace,Oct-Apr,2500,"City Palace is a popular travel spot near Jaipur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,300,450
172,Jantar Mantar,Jaipur,Rajasthan,26.9004,75.7873,Historical/Heritage,Sep-Feb,3000,"Jantar Mantar is a popular travel spot near Jaipur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,360,540
173,City Palace,Udaipur,Rajasthan,24.5854,73.7245,Palace,Oct-Mar,1800,"City Palace is a popular travel spot near Udaipur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,216,324
174,Lake Pichola,Udaipur,Rajasthan,24.5974,73.7125,Lake/Waterfall,Nov-Feb,2200,"Lake Pichola is a popular travel spot near Udaipur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,264,396
175,Jag Mandir,Udaipur,Rajasthan,24.5854,73.7005,Temple,Oct-Apr,2500,"Jag Mandir is a popular travel spot near Udaipur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,300,450
176,Saheliyon Ki Bari,Udaipur,Rajasthan,24.5734,73.7125,Places to Visit,Sep-Feb,3000,"Saheliyon Ki Bari is a popular travel spot near Udaipur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
177,Mehrangarh Fort,Jodhpur,Rajasthan,26.2389,73.0363,Fort,Oct-Mar,1800,"Mehrangarh Fort is a popular travel spot near Jodhpur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,216,324
178,Jaswant Thada,Jodhpur,Rajasthan,26.2509,73.0243,Places to Visit,Nov-Feb,2200,"Jaswant Thada is a popular travel spot near Jodhpur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
179,Umaid Bhawan Palace,Jodhpur,Rajasthan,26.2389,73.0123,Palace,Oct-Apr,2500,"Umaid Bhawan Palace is a popular travel spot near Jodhpur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,300,450
180,Toorji Ka Jhalra,Jodhpur,Rajasthan,26.2269,73.0243,Places to Visit,Sep-Feb,3000,"Toorji Ka Jhalra is a popular travel spot near Jodhpur, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
181,Jaisalmer Fort,Jaisalmer,Rajasthan,26.9157,70.9203,Fort,Oct-Mar,1800,"Jaisalmer Fort is a popular travel spot near Jaisalmer, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,216,324
182,Sam Sand Dunes,Jaisalmer,Rajasthan,26.9277,70.9083,Adventure,Nov-Feb,2200,"Sam Sand Dunes is a popular travel spot near Jaisalmer, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🧗,264,396
183,Patwon Ki Haveli,Jaisalmer,Rajasthan,26.9157,70.8963,Places to Visit,Oct-Apr,2500,"Patwon Ki Haveli is a popular travel spot near Jaisalmer, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
184,Gadisar Lake,Jaisalmer,Rajasthan,26.9037,70.9083,Lake/Waterfall,Sep-Feb,3000,"Gadisar Lake is a popular travel spot near Jaisalmer, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,360,540
185,Pushkar Lake,Pushkar,Rajasthan,26.489,74.5631,Lake/Waterfall,Oct-Mar,1800,"Pushkar Lake is a popular travel spot near Pushkar, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,216,324
186,Brahma Temple,Pushkar,Rajasthan,26.501,74.5511,Temple,Nov-Feb,2200,"Brahma Temple is a popular travel spot near Pushkar, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
187,Savitri Temple,Pushkar,Rajasthan,26.489,74.5391,Temple,Oct-Apr,2500,"Savitri Temple is a popular travel spot near Pushkar, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,300,450
188,Pushkar Bazaar,Pushkar,Rajasthan,26.477,74.5511,Places to Visit,Sep-Feb,3000,"Pushkar Bazaar is a popular travel spot near Pushkar, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
189,Dilwara Temples,Mount Abu,Rajasthan,24.5926,72.7276,Temple,Oct-Mar,1800,"Dilwara Temples is a popular travel spot near Mount Abu, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
190,Nakki Lake,Mount Abu,Rajasthan,24.6046,72.7156,Lake/Waterfall,Nov-Feb,2200,"Nakki Lake is a popular travel spot near Mount Abu, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,264,396
191,Guru Shikhar,Mount Abu,Rajasthan,24.5926,72.7036,Places to Visit,Oct-Apr,2500,"Guru Shikhar is a popular travel spot near Mount Abu, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
192,Sunset Point,Mount Abu,Rajasthan,24.5806,72.7156,Places to Visit,Sep-Feb,3000,"Sunset Point is a popular travel spot near Mount Abu, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
193,Junagarh Fort,Bikaner,Rajasthan,28.0229,73.3239,Fort,Oct-Mar,1800,"Junagarh Fort is a popular travel spot near Bikaner, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,216,324
194,Karni Mata Temple,Bikaner,Rajasthan,28.0349,73.3119,Temple,Nov-Feb,2200,"Karni Mata Temple is a popular travel spot near Bikaner, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
195,Lalgarh Palace,Bikaner,Rajasthan,28.0229,73.2999,Palace,Oct-Apr,2500,"Lalgarh Palace is a popular travel spot near Bikaner, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",👑,300,450
196,Gajner Lake,Bikaner,Rajasthan,28.0109,73.3119,Lake/Waterfall,Sep-Feb,3000,"Gajner Lake is a popular travel spot near Bikaner, Rajasthan, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,360,540
197,India Gate,New Delhi,Delhi,28.6139,77.221,Famous Landmark,Oct-Mar,1800,"India Gate is a popular travel spot near New Delhi, Delhi, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,216,324
198,Red Fort,New Delhi,Delhi,28.6259,77.209,Fort,Nov-Feb,2200,"Red Fort is a popular travel spot near New Delhi, Delhi, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,264,396
199,Qutub Minar,New Delhi,Delhi,28.6139,77.197,Famous Landmark,Oct-Apr,2500,"Qutub Minar is a popular travel spot near New Delhi, Delhi, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,300,450
200,Humayun's Tomb,New Delhi,Delhi,28.6019,77.209,Places to Visit,Sep-Feb,3000,"Humayun's Tomb is a popular travel spot near New Delhi, Delhi, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
201,Taj Mahal,Agra,Uttar Pradesh,27.1767,78.0201,Famous Landmark,Oct-Mar,1800,"Taj Mahal is a popular travel spot near Agra, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏙️,216,324
202,Agra Fort,Agra,Uttar Pradesh,27.1887,78.0081,Fort,Nov-Feb,2200,"Agra Fort is a popular travel spot near Agra, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏰,264,396
203,Mehtab Bagh,Agra,Uttar Pradesh,27.1767,77.9961,Places to Visit,Oct-Apr,2500,"Mehtab Bagh is a popular travel spot near Agra, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
204,Itmad-ud-Daulah,Agra,Uttar Pradesh,27.1647,78.0081,Places to Visit,Sep-Feb,3000,"Itmad-ud-Daulah is a popular travel spot near Agra, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
205,Kashi Vishwanath Temple,Varanasi,Uttar Pradesh,25.3176,82.9859,Temple,Oct-Mar,1800,"Kashi Vishwanath Temple is a popular travel spot near Varanasi, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,216,324
206,Dashashwamedh Ghat,Varanasi,Uttar Pradesh,25.3296,82.9739,Lake/Waterfall,Nov-Feb,2200,"Dashashwamedh Ghat is a popular travel spot near Varanasi, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,264,396
207,Sarnath,Varanasi,Uttar Pradesh,25.3176,82.9619,Spiritual,Oct-Apr,2500,"Sarnath is a popular travel spot near Varanasi, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,300,450
208,Assi Ghat,Varanasi,Uttar Pradesh,25.3056,82.9739,Lake/Waterfall,Sep-Feb,3000,"Assi Ghat is a popular travel spot near Varanasi, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,360,540
209,Bara Imambara,Lucknow,Uttar Pradesh,26.8467,80.9582,Places to Visit,Oct-Mar,1800,"Bara Imambara is a popular travel spot near Lucknow, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,216,324
210,Chota Imambara,Lucknow,Uttar Pradesh,26.8587,80.9462,Places to Visit,Nov-Feb,2200,"Chota Imambara is a popular travel spot near Lucknow, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,264,396
211,Rumi Darwaza,Lucknow,Uttar Pradesh,26.8467,80.9342,Places to Visit,Oct-Apr,2500,"Rumi Darwaza is a popular travel spot near Lucknow, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,300,450
212,British Residency,Lucknow,Uttar Pradesh,26.8347,80.9462,Historical/Heritage,Sep-Feb,3000,"British Residency is a popular travel spot near Lucknow, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏛️,360,540
213,Krishna Janmabhoomi,Mathura,Uttar Pradesh,27.4924,77.6857,Places to Visit,Oct-Mar,1800,"Krishna Janmabhoomi is a popular travel spot near Mathura, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,216,324
214,Dwarkadhish Temple,Mathura,Uttar Pradesh,27.5044,77.6737,Temple,Nov-Feb,2200,"Dwarkadhish Temple is a popular travel spot near Mathura, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
215,Vishram Ghat,Mathura,Uttar Pradesh,27.4924,77.6617,Lake/Waterfall,Oct-Apr,2500,"Vishram Ghat is a popular travel spot near Mathura, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,300,450
216,Govardhan Hill,Mathura,Uttar Pradesh,27.4804,77.6737,Places to Visit,Sep-Feb,3000,"Govardhan Hill is a popular travel spot near Mathura, Uttar Pradesh, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,360,540
217,Robber's Cave,Dehradun,Uttarakhand,30.3165,78.0442,Places to Visit,Oct-Mar,1800,"Robber's Cave is a popular travel spot near Dehradun, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,216,324
218,Sahastradhara,Dehradun,Uttarakhand,30.3285,78.0322,Nature,Nov-Feb,2200,"Sahastradhara is a popular travel spot near Dehradun, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,264,396
219,Forest Research Institute,Dehradun,Uttarakhand,30.3165,78.0202,Nature,Oct-Apr,2500,"Forest Research Institute is a popular travel spot near Dehradun, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,300,450
220,Mindrolling Monastery,Dehradun,Uttarakhand,30.3045,78.0322,Spiritual,Sep-Feb,3000,"Mindrolling Monastery is a popular travel spot near Dehradun, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,360,540
221,Lakshman Jhula Area,Rishikesh,Uttarakhand,30.0869,78.2796,Places to Visit,Oct-Mar,1800,"Lakshman Jhula Area is a popular travel spot near Rishikesh, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",📍,216,324
222,Triveni Ghat,Rishikesh,Uttarakhand,30.0989,78.2676,Lake/Waterfall,Nov-Feb,2200,"Triveni Ghat is a popular travel spot near Rishikesh, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,264,396
223,Beatles Ashram,Rishikesh,Uttarakhand,30.0869,78.2556,Spiritual,Oct-Apr,2500,"Beatles Ashram is a popular travel spot near Rishikesh, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🕍,300,450
224,Neer Garh Waterfall,Rishikesh,Uttarakhand,30.0749,78.2676,Lake/Waterfall,Sep-Feb,3000,"Neer Garh Waterfall is a popular travel spot near Rishikesh, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,360,540
225,Naini Lake,Nainital,Uttarakhand,29.3919,79.4662,Lake/Waterfall,Oct-Mar,1800,"Naini Lake is a popular travel spot near Nainital, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,216,324
226,Naina Devi Temple,Nainital,Uttarakhand,29.4039,79.4542,Temple,Nov-Feb,2200,"Naina Devi Temple is a popular travel spot near Nainital, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🛕,264,396
227,Snow View Point,Nainital,Uttarakhand,29.3919,79.4422,Nature,Oct-Apr,2500,"Snow View Point is a popular travel spot near Nainital, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,300,450
228,Eco Cave Gardens,Nainital,Uttarakhand,29.3799,79.4542,Nature,Sep-Feb,3000,"Eco Cave Gardens is a popular travel spot near Nainital, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌿,360,540
229,Gun Hill,Mussoorie,Uttarakhand,30.4598,78.0764,Hill Station,Oct-Mar,1800,"Gun Hill is a popular travel spot near Mussoorie, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,216,324
230,Kempty Falls,Mussoorie,Uttarakhand,30.4718,78.0644,Lake/Waterfall,Nov-Feb,2200,"Kempty Falls is a popular travel spot near Mussoorie, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🏞️,264,396
231,Mall Road,Mussoorie,Uttarakhand,30.4598,78.0524,Hill Station,Oct-Apr,2500,"Mall Road is a popular travel spot near Mussoorie, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,300,450
232,Lal Tibba,Mussoorie,Uttarakhand,30.4478,78.0644,Hill Station,Sep-Feb,3000,"Lal Tibba is a popular travel spot near Mussoorie, Uttarakhand, offering a memorable mix of sightseeing, local culture and scenic experiences.",🌄,360,540
