place_id,city,state,hotel,price_per_night,rating,type,description
219,Dehradun,Uttarakhand,Dehradun Green Valley Inn,2300,4.3,Family,Comfortable family-friendly stay option for visitors to Dehradun.
220,Dehradun,Uttarakhand,Dehradun Travelers Hub,2700,4.4,Boutique,Comfortable boutique stay option for visitors to Dehradun.
221,Rishikesh,Uttarakhand,Rishikesh Nature Nest,3100,4.5,Budget,Comfortable budget stay option for visitors to Rishikesh.
222,Rishikesh,Uttarakhand,Rishikesh Heritage Stay,3500,4.6,Mid-range,Comfortable mid-range stay option for visitors to Rishikesh.
223,Rishikesh,Uttarakhand,Rishikesh City Comfort,1500,4.7,Family,Comfortable family-friendly stay option for visitors to Rishikesh.
224,Rishikesh,Uttarakhand,Rishikesh Green Valley Inn,1900,4.8,Boutique,Comfortable boutique stay option for visitors to Rishikesh.
225,Nainital,Uttarakhand,Nainital Travelers Hub,2300,4.9,Budget,Comfortable budget stay option for visitors to Nainital.
226,Nainital,Uttarakhand,Nainital Nature Nest,2700,4.1,Mid-range,Comfortable mid-range stay option for visitors to Nainital.
227,Nainital,Uttarakhand,Nainital Heritage Stay,3100,4.2,Family,Comfortable family-friendly stay option for visitors to Nainital.
228,Nainital,Uttarakhand,Nainital City Comfort,3500,4.3,Boutique,Comfortable boutique stay option for visitors to Nainital.
229,Mussoorie,Uttarakhand,Mussoorie Green Valley Inn,1500,4.4,Budget,Comfortable budget stay option for visitors to Mussoorie.
230,Mussoorie,Uttarakhand,Mussoorie Travelers Hub,1900,4.5,Mid-range,Comfortable mid-range stay option for visitors to Mussoorie.
231,Mussoorie,Uttarakhand,Mussoorie Nature Nest,2300,4.6,Family,Comfortable family-friendly stay option for visitors to Mussoorie.
232,Mussoorie,Uttarakhand,Mussoorie Heritage Stay,2700,4.7,Boutique,Comfortable boutique stay option for visitors to Mussoorie.
233,Haridwar,Uttarakhand,Haridwar City Comfort,3100,4.8,Budget,Comfortable budget stay option for visitors to Haridwar.
234,Haridwar,Uttarakhand,Haridwar Green Valley Inn,3500,4.9,Mid-range,Comfortable mid-range stay option for visitors to Haridwar.
235,Haridwar,Uttarakhand,Haridwar Travelers Hub,1500,4.1,Family,Comfortable family-friendly stay option for visitors to Haridwar.
236,Haridwar,Uttarakhand,Haridwar Nature Nest,1900,4.2,Boutique,Comfortable boutique stay option for visitors to Haridwar.
237,Shimla,Himachal Pradesh,Shimla Heritage Stay,2300,4.3,Budget,Comfortable budget stay option for visitors to Shimla.
238,Shimla,Himachal Pradesh,Shimla City Comfort,2700,4.4,Mid-range,Comfortable mid-range stay option for visitors to Shimla.
239,Shimla,Himachal Pradesh,Shimla Green Valley Inn,3100,4.5,Family,Comfortable family-friendly stay option for visitors to Shimla.
240,Shimla,Himachal Pradesh,Shimla Travelers Hub,3500,4.6,Boutique,Comfortable boutique stay option for visitors to Shimla.
241,Manali,Himachal Pradesh,Manali Nature Nest,1500,4.7,Budget,Comfortable budget stay option for visitors to Manali.
242,Manali,Himachal Pradesh,Manali Heritage Stay,1900,4.8,Mid-range,Comfortable mid-range stay option for visitors to Manali.
243,Manali,Himachal Pradesh,Manali City Comfort,2300,4.9,Family,Comfortable family-friendly stay option for visitors to Manali.
244,Manali,Himachal Pradesh,Manali Green Valley Inn,2700,4.1,Boutique,Comfortable boutique stay option for visitors to Manali.
245,Dharamshala,Himachal Pradesh,Dharamshala Travelers Hub,3100,4.2,Budget,Comfortable budget stay option for visitors to Dharamshala.
246,Dharamshala,Himachal Pradesh,Dharamshala Nature Nest,3500,4.3,Mid-range,Comfortable mid-range stay option for visitors to Dharamshala.
247,Dharamshala,Himachal Pradesh,Dharamshala Heritage Stay,1500,4.4,Family,Comfortable family-friendly stay option for visitors to Dharamshala.
248,Dharamshala,Himachal Pradesh,Dharamshala City Comfort,1900,4.5,Boutique,Comfortable boutique stay option for visitors to Dharamshala.
249,Dalhousie,Himachal Pradesh,Dalhousie Green Valley Inn,2300,4.6,Budget,Comfortable budget stay option for visitors to Dalhousie.
250,Dalhousie,Himachal Pradesh,Dalhousie Travelers Hub,2700,4.7,Mid-range,Comfortable mid-range stay option for visitors to Dalhousie.
251,Dalhousie,Himachal Pradesh,Dalhousie Nature Nest,3100,4.8,Family,Comfortable family-friendly stay option for visitors to Dalhousie.
252,Dalhousie,Himachal Pradesh,Dalhousie Heritage Stay,3500,4.9,Boutique,Comfortable boutique stay option for visitors to Dalhousie.
253,Srinagar,Jammu and Kashmir,Srinagar City Comfort,1500,4.1,Budget,Comfortable budget stay option for visitors to Srinagar.
254,Srinagar,Jammu and Kashmir,Srinagar Green Valley Inn,1900,4.2,Mid-range,Comfortable mid-range stay option for visitors to Srinagar.
255,Srinagar,Jammu and Kashmir,Srinagar Travelers Hub,2300,4.3,Family,Comfortable family-friendly stay option for visitors to Srinagar.
256,Srinagar,Jammu and Kashmir,Srinagar Nature Nest,2700,4.4,Boutique,Comfortable boutique stay option for visitors to Srinagar.
