place_id,city,state,food,type,avg_price,description,meal_type
246,Dharamshala,Himachal Pradesh,Aloo paratha,Local Speciality,120,Try Aloo paratha while exploring Dharamshala.,Breakfast
247,Dharamshala,Himachal Pradesh,Rajma chawal,Local Speciality,170,Try Rajma chawal while exploring Dharamshala.,Dinner
248,Dharamshala,Himachal Pradesh,Kebabs,Local Speciality,220,Try Kebabs while exploring Dharamshala.,Dinner
249,Dalhousie,Himachal Pradesh,Chole bhature,Local Speciality,270,Try Chole bhature while exploring Dalhousie.,Dinner
250,Dalhousie,Himachal Pradesh,Aloo paratha,Local Speciality,320,Try Aloo paratha while exploring Dalhousie.,Breakfast
251,Dalhousie,Himachal Pradesh,Rajma chawal,Local Speciality,120,Try Rajma chawal while exploring Dalhousie.,Dinner
252,Dalhousie,Himachal Pradesh,Kebabs,Local Speciality,170,Try Kebabs while exploring Dalhousie.,Dinner
253,Srinagar,Jammu and Kashmir,Chole bhature,Local Speciality,220,Try Chole bhature while exploring Srinagar.,Dinner
254,Srinagar,Jammu and Kashmir,Aloo paratha,Local Speciality,270,Try Aloo paratha while exploring Srinagar.,Breakfast
255,Srinagar,Jammu and Kashmir,Rajma chawal,Local Speciality,320,Try Rajma chawal while exploring Srinagar.,Dinner
256,Srinagar,Jammu and Kashmir,Kebabs,Local Speciality,120,Try Kebabs while exploring Srinagar.,Dinner
